attendance_rate,late_rate,financial_issues,overdue_invoice_count,engagement_score,semester,classes_enrolled,dropout_risk
0.927,0.203,0,0,8.6,8,2,0
0.658,0.249,0,0,6.1,3,5,0
0.672,0.323,0,0,7.4,3,2,0
0.375,0.178,0,0,2.4,4,5,0
0.613,0.206,0,0,5.1,3,1,0
0.673,0.379,0,0,5.0,1,4,0
0.47,0.201,0,0,4.6,8,4,0
0.488,0.172,1,2,3.2,3,1,1
0.564,0.302,1,3,7.2,4,3,1
0.314,0.187,0,0,2.8,6,4,0
0.525,0.429,0,0,6.8,8,2,0
0.448,0.341,0,0,4.4,3,4,0
0.529,0.131,0,0,7.1,5,3,0
0.384,0.155,1,4,4.5,8,2,1
0.923,0.347,0,0,9.3,8,2,0
0.716,0.262,0,0,4.3,7,1,0
0.775,0.351,0,0,7.6,5,5,0
0.852,0.172,0,0,8.7,5,1,0
0.649,0.203,0,0,4.5,6,5,0
0.361,0.154,0,0,2.5,2,1,0
0.676,0.146,1,4,5.8,7,5,1
0.711,0.11,1,4,8.0,5,4,1
0.822,0.264,0,0,7.1,5,2,0
0.602,0.206,0,0,5.7,2,5,0
0.389,0.229,1,3,2.9,6,4,1
0.499,0.322,0,0,3.0,7,3,0
0.554,0.036,0,0,6.6,5,1,0
0.752,0.206,0,0,4.9,4,3,0
0.7,0.356,1,2,6.7,6,4,1
0.549,0.075,0,0,7.0,7,3,0
0.991,0.327,0,0,6.8,5,3,0
0.724,0.21,1,1,7.0,5,4,0
0.466,0.23,1,2,3.1,2,2,1
0.371,0.251,1,3,4.6,7,5,1
0.407,0.092,0,0,3.1,4,1,0
0.472,0.027,0,0,5.8,6,5,0
0.412,0.3,0,0,3.7,3,1,0
0.431,0.082,1,1,4.4,1,5,1
0.5,0.149,0,0,5.4,4,3,0
0.421,0.5,0,0,3.2,3,2,0
0.928,0.174,1,4,8.5,4,3,0
0.356,0.251,0,0,3.3,7,2,0
0.667,0.11,0,0,6.7,3,4,0
0.587,0.37,0,0,4.2,7,1,0
0.988,0.034,0,0,8.7,3,1,0
0.378,0.339,0,0,2.8,4,4,0
0.578,0.059,0,0,5.2,2,5,0
0.979,0.449,0,0,6.9,4,4,0
0.906,0.278,0,0,8.4,7,4,0
0.872,0.086,0,0,6.3,4,2,0
0.481,0.193,0,0,6.4,8,4,0
0.42,0.254,1,3,6.1,8,1,1
0.768,0.114,0,0,5.4,3,3,0
0.951,0.152,0,0,8.2,8,2,0
0.69,0.404,1,2,4.5,1,2,1
0.7,0.203,0,0,5.8,3,5,0
0.496,0.34,1,2,5.8,8,3,1
0.839,0.265,1,4,7.7,5,2,1
0.431,0.251,0,0,5.1,4,4,0
0.527,0.294,1,4,4.3,6,2,1
0.598,0.424,0,0,5.1,4,2,0
0.655,0.097,0,0,4.3,8,2,0
0.47,0.312,0,0,5.7,2,5,0
0.38,0.479,0,0,4.3,7,2,0
0.727,0.286,1,4,7.2,6,2,1
0.502,0.243,0,0,4.0,3,5,0
0.707,0.401,0,0,5.5,2,3,0
0.408,0.5,0,0,3.8,4,1,1
0.637,0.233,0,0,3.9,8,5,0
0.673,0.263,0,0,5.4,3,5,0
0.336,0.281,0,0,5.2,3,2,0
0.536,0.057,1,4,6.8,5,2,1
0.394,0.333,0,0,4.4,5,1,0
0.344,0.059,1,1,3.9,8,2,1
0.993,0.282,0,0,6.1,8,4,0
0.526,0.054,1,4,6.7,1,2,1
0.867,0.093,0,0,5.3,5,2,0
0.478,0.138,0,0,6.6,7,4,0
0.777,0.123,0,0,6.6,6,1,0
0.832,0.307,1,1,6.4,3,4,0
0.717,0.129,0,0,8.0,5,5,0
0.63,0.054,1,4,3.9,8,4,1
0.588,0.116,0,0,5.9,1,3,0
0.544,0.218,0,0,5.5,8,5,0
0.951,0.238,0,0,6.6,8,2,0
0.881,0.201,1,3,7.0,8,5,0
0.976,0.355,0,0,8.5,4,1,0
0.387,0.363,1,1,5.2,6,1,1
0.812,0.274,1,1,4.9,5,4,0
0.957,0.174,0,0,9.5,3,5,0
0.427,0.161,0,0,3.2,4,2,0
0.347,0.5,0,0,3.0,8,1,1
0.819,0.207,0,0,6.0,7,2,0
0.702,0.471,1,2,4.4,3,3,1
0.889,0.086,0,0,5.8,4,1,0
0.398,0.124,0,0,6.3,7,4,0
0.857,0.127,1,1,6.4,7,3,0
0.441,0.073,0,0,3.1,6,5,0
0.415,0.204,0,0,2.9,3,2,0
0.415,0.142,0,0,5.4,5,1,0
0.87,0.163,0,0,8.6,5,3,0
0.766,0.39,0,0,5.6,1,3,0
0.666,0.055,1,4,4.1,4,1,1
0.551,0.125,0,0,4.2,1,5,0
0.914,0.213,0,0,5.7,2,5,0
0.575,0.193,0,0,3.9,5,4,0
0.872,0.436,0,0,7.0,4,5,0
0.607,0.041,0,0,4.6,6,4,0
0.564,0.403,1,4,5.4,1,3,1
0.624,0.067,0,0,4.8,6,1,0
0.511,0.152,0,0,6.8,6,5,0
0.823,0.056,0,0,8.6,8,4,0
0.652,0.014,0,0,6.2,8,3,0
0.463,0.384,0,0,4.2,6,5,0
0.93,0.111,0,0,7.1,1,2,0
0.569,0.283,0,0,5.1,8,3,0
0.68,0.133,0,0,7.0,2,5,0
0.935,0.439,0,0,7.4,7,3,0
0.737,0.138,0,0,7.8,7,1,0
0.382,0.168,1,4,6.1,8,1,1
0.958,0.121,0,0,7.1,1,1,0
0.739,0.08,0,0,6.7,7,2,0
0.534,0.294,0,0,3.6,3,1,0
0.397,0.199,0,0,3.2,7,2,0
0.856,0.014,0,0,6.8,5,1,0
0.734,0.437,0,0,5.2,1,3,0
0.673,0.134,0,0,7.5,8,5,0
0.926,0.08,0,0,6.2,8,5,0
0.852,0.051,0,0,6.9,7,1,0
0.406,0.087,0,0,4.9,1,5,0
0.518,0.263,0,0,5.9,2,1,0
0.474,0.297,0,0,4.4,3,1,0
0.821,0.158,0,0,8.4,8,4,0
0.323,0.5,0,0,4.2,1,4,0
0.699,0.145,0,0,6.0,8,4,0
0.834,0.18,0,0,5.3,8,2,0
0.914,0.075,1,1,7.3,5,4,0
0.539,0.173,0,0,6.5,7,1,0
0.875,0.336,0,0,7.7,5,3,0
0.377,0.462,0,0,5.6,7,4,0
0.893,0.269,1,2,7.3,8,4,0
0.389,0.042,0,0,2.8,1,3,0
0.578,0.064,0,0,3.5,6,1,0
0.858,0.041,0,0,6.4,7,2,0
0.405,0.099,0,0,5.2,6,4,0
0.46,0.139,0,0,5.9,3,3,0
0.806,0.069,0,0,6.0,5,1,0
0.804,0.279,1,2,6.8,6,5,0
0.749,0.086,1,3,6.2,5,2,1
0.786,0.226,0,0,6.4,7,3,0
0.68,0.31,0,0,5.0,7,3,0
0.476,0.157,1,1,3.4,3,3,1
0.542,0.348,0,0,4.0,7,4,0
0.427,0.229,0,0,2.8,8,5,0
0.936,0.132,0,0,6.4,3,2,0
0.708,0.148,0,0,4.3,6,1,0
0.581,0.122,0,0,6.0,7,1,0
0.623,0.294,0,0,5.0,1,5,0
0.963,0.256,0,0,9.7,4,3,0
0.407,0.204,0,0,3.2,2,3,0
0.71,0.057,0,0,5.6,8,3,0
0.654,0.115,0,0,5.4,4,3,0
0.728,0.096,1,2,4.4,4,3,1
0.313,0.024,0,0,5.2,5,5,0
0.91,0.072,0,0,5.6,8,4,0
0.952,0.066,1,2,9.5,8,2,0
0.696,0.165,1,4,7.7,3,3,1
0.788,0.29,0,0,6.9,5,4,0
0.946,0.133,0,0,7.8,6,1,0
0.795,0.16,0,0,7.4,2,5,0
0.407,0.185,1,2,4.0,6,4,1
0.703,0.18,1,1,6.8,1,3,0
0.725,0.206,1,4,4.5,2,3,1
0.597,0.357,0,0,3.8,5,3,0
0.816,0.162,0,0,6.7,7,4,0
0.954,0.373,0,0,7.9,7,3,0
0.948,0.191,0,0,9.2,5,4,0
0.616,0.169,0,0,4.1,6,3,0
0.379,0.5,0,0,5.6,5,1,0
0.989,0.279,0,0,6.8,5,1,0
0.887,0.028,0,0,6.9,4,2,0
0.387,0.252,0,0,3.6,1,3,0
0.945,0.074,0,0,7.3,8,3,0
0.909,0.185,0,0,6.1,7,4,0
0.663,0.073,0,0,6.0,4,4,0
0.714,0.221,1,2,7.5,5,3,1
0.579,0.381,0,0,5.2,3,2,0
0.338,0.237,1,3,4.0,4,3,1
0.535,0.154,0,0,6.6,5,4,0
0.862,0.127,0,0,8.0,7,3,0
0.303,0.412,0,0,3.8,8,4,0
0.533,0.225,0,0,4.2,5,3,0
0.579,0.361,1,4,7.0,1,5,1
0.676,0.292,0,0,6.4,6,4,0
0.944,0.156,1,2,6.5,2,2,0
0.542,0.188,0,0,4.3,4,5,0
0.543,0.421,1,1,6.5,4,3,1
0.816,0.177,0,0,5.1,4,4,0
0.617,0.124,1,1,7.7,5,5,0
0.457,0.114,0,0,3.3,8,2,0
0.617,0.297,0,0,6.9,1,4,0
0.399,0.134,0,0,4.0,8,5,0
0.423,0.151,1,3,4.5,5,5,1
0.649,0.306,0,0,7.4,5,5,0
0.593,0.058,0,0,5.2,6,1,0
0.94,0.201,1,2,7.8,3,3,0
0.554,0.348,0,0,3.5,1,4,0
0.706,0.213,0,0,4.2,4,4,0
0.743,0.186,0,0,5.4,2,4,0
0.309,0.255,0,0,4.6,4,5,0
0.764,0.244,1,2,5.1,8,3,1
0.425,0.178,1,3,3.0,5,2,1
0.973,0.035,0,0,7.5,1,4,0
0.404,0.266,1,1,5.0,7,3,1
0.59,0.065,0,0,6.4,1,3,0
0.36,0.291,0,0,2.9,1,1,1
0.998,0.034,0,0,6.3,3,4,0
0.652,0.083,0,0,7.7,4,5,0
0.717,0.202,0,0,5.3,3,3,0
0.347,0.157,1,3,5.5,7,3,1
0.825,0.141,1,3,8.4,7,2,0
0.447,0.5,0,0,5.8,6,1,0
0.929,0.273,0,0,6.2,8,3,0
0.444,0.036,0,0,5.9,2,3,0
0.433,0.325,1,3,5.7,6,5,1
0.326,0.283,1,1,4.3,5,5,1
0.63,0.2,0,0,5.1,3,2,0
0.695,0.131,1,1,5.2,3,2,1
0.346,0.277,0,0,2.6,6,2,0
0.843,0.214,0,0,7.1,5,5,0
0.617,0.307,0,0,6.0,1,5,0
0.667,0.103,0,0,5.4,5,1,0
0.609,0.12,0,0,5.6,4,4,0
0.581,0.076,0,0,4.9,6,4,0
0.692,0.097,0,0,6.7,8,1,0
0.409,0.15,0,0,6.1,5,4,0
0.427,0.221,0,0,3.2,1,5,0
0.903,0.107,0,0,6.9,5,4,0
0.962,0.195,0,0,6.3,3,5,0
0.561,0.366,1,2,5.9,2,1,1
0.49,0.248,0,0,5.9,3,2,0
0.751,0.122,0,0,8.2,8,1,0
0.586,0.01,0,0,4.6,7,4,0
0.318,0.199,1,2,5.7,2,5,1
0.409,0.115,1,3,2.7,7,4,1
0.801,0.082,0,0,7.2,5,4,0
0.761,0.197,0,0,4.8,4,2,0
0.319,0.32,1,1,5.5,8,4,1
0.455,0.129,0,0,4.9,5,2,0
0.462,0.313,0,0,5.4,1,5,0
0.77,0.163,0,0,7.9,5,5,0
0.314,0.263,0,0,2.5,2,2,0
0.373,0.365,0,0,2.4,3,1,1
0.86,0.011,0,0,8.7,4,5,0
0.425,0.201,0,0,3.8,7,1,0
0.757,0.466,1,4,5.1,5,5,1
0.467,0.345,0,0,4.7,5,5,0
0.37,0.089,1,2,4.6,3,3,1
0.47,0.22,0,0,2.9,4,4,0
0.806,0.5,0,0,5.9,6,4,0
0.899,0.133,0,0,5.5,7,1,0
0.881,0.333,1,3,7.0,5,4,0
0.578,0.206,1,3,7.0,5,1,1
0.768,0.14,0,0,8.5,6,5,0
0.443,0.302,1,1,5.2,7,3,1
0.505,0.337,0,0,3.7,2,3,0
0.927,0.094,1,3,9.2,2,5,0
0.309,0.374,0,0,3.9,8,2,0
0.36,0.003,1,3,2.8,8,2,1
0.446,0.145,0,0,6.4,1,4,0
0.319,0.214,0,0,4.9,3,1,0
0.427,0.138,0,0,5.5,4,3,0
0.708,0.198,0,0,7.1,5,4,0
0.595,0.134,0,0,4.4,7,5,0
0.925,0.189,0,0,6.4,5,3,0
0.872,0.282,0,0,8.0,8,1,0
0.539,0.168,0,0,4.1,1,1,0
0.482,0.453,0,0,4.6,7,2,0
0.566,0.181,0,0,6.5,7,4,0
0.713,0.151,1,2,7.4,5,5,0
0.488,0.5,0,0,4.7,3,3,0
0.737,0.361,0,0,7.6,1,1,0
0.587,0.278,0,0,6.9,3,3,0
0.686,0.047,0,0,6.7,1,5,0
0.605,0.426,0,0,4.5,5,3,0
0.506,0.294,0,0,4.1,1,4,0
0.964,0.063,0,0,7.0,2,2,0
0.835,0.282,1,4,5.5,7,3,1
0.398,0.098,0,0,3.5,4,2,0
0.908,0.388,0,0,6.3,5,5,0
0.641,0.417,0,0,5.7,6,2,0
0.926,0.28,0,0,9.2,4,3,0
0.86,0.12,1,4,5.6,5,3,1
0.598,0.295,0,0,6.5,4,1,0
0.316,0.063,0,0,4.6,2,3,0
0.488,0.228,0,0,3.3,4,2,0
0.679,0.156,0,0,7.8,1,1,0
0.743,0.165,0,0,6.7,8,3,0
0.481,0.056,1,1,4.3,4,3,1
0.398,0.202,1,1,5.4,5,5,1
0.884,0.087,1,3,6.3,6,1,0
0.989,0.127,1,4,8.7,6,5,0
0.668,0.266,0,0,4.2,8,5,0
0.42,0.214,0,0,5.9,3,5,0
0.491,0.124,1,2,4.7,8,4,1
0.313,0.084,1,2,4.4,7,5,1
0.94,0.131,1,3,6.5,4,2,0
0.382,0.13,0,0,5.0,6,3,0
0.704,0.145,0,0,7.3,8,4,0
0.492,0.249,1,4,4.8,4,5,1
0.688,0.153,0,0,6.6,7,3,0
0.756,0.423,1,1,6.4,6,1,1
0.881,0.09,0,0,8.9,7,1,0
0.444,0.231,0,0,4.7,4,3,0
0.308,0.072,0,0,5.2,5,2,0
0.396,0.097,1,1,5.6,4,3,1
0.93,0.004,0,0,7.2,8,3,0
0.912,0.095,0,0,6.4,7,4,0
0.718,0.029,1,1,5.9,5,1,1
0.72,0.151,0,0,7.6,5,1,0
0.766,0.115,1,1,5.5,3,5,0
0.423,0.032,0,0,4.6,6,3,0
0.94,0.208,1,3,8.9,1,3,0
0.593,0.357,0,0,5.0,5,2,0
0.568,0.5,1,1,6.0,7,1,1
0.663,0.043,1,2,5.0,6,2,1
0.333,0.203,0,0,2.4,2,4,0
0.416,0.252,0,0,5.7,4,5,0
0.817,0.296,0,0,5.3,8,2,0
0.358,0.154,0,0,3.2,7,1,0
0.722,0.221,1,2,7.8,2,4,0
0.472,0.293,0,0,4.2,7,3,0
0.573,0.381,0,0,7.3,4,4,0
0.502,0.192,0,0,6.9,3,2,0
0.549,0.024,1,2,4.4,7,1,1
0.803,0.153,1,2,5.0,5,2,1
0.508,0.255,0,0,5.9,1,3,0
0.696,0.122,0,0,6.0,5,3,0
0.633,0.27,0,0,4.2,4,1,0
0.765,0.052,0,0,7.4,7,5,0
0.956,0.474,0,0,5.9,1,4,0
0.813,0.109,0,0,8.4,5,4,0
0.45,0.067,0,0,3.3,1,3,0
0.322,0.09,0,0,2.4,8,2,0
0.484,0.313,0,0,3.6,4,2,0
0.717,0.099,0,0,8.1,3,5,0
0.336,0.217,0,0,4.8,3,2,0
0.647,0.429,1,3,7.1,7,4,1
0.718,0.088,0,0,5.9,5,2,0
0.534,0.356,0,0,4.5,2,5,0
0.84,0.281,0,0,6.0,4,4,0
0.375,0.024,1,2,4.2,5,2,1
0.353,0.342,1,2,4.3,5,4,1
0.81,0.283,0,0,7.4,3,3,0
0.647,0.022,0,0,4.9,7,3,0
0.782,0.186,0,0,8.5,1,3,0
0.604,0.208,0,0,4.3,4,2,0
0.472,0.152,0,0,6.7,8,5,0
0.873,0.122,0,0,5.3,1,4,0
0.86,0.043,0,0,7.1,6,1,0
0.786,0.256,0,0,6.1,6,3,0
0.491,0.007,0,0,4.7,4,3,0
0.713,0.187,0,0,6.6,7,1,0
0.553,0.131,0,0,5.1,2,1,0
0.364,0.165,0,0,3.8,6,2,0
0.942,0.252,0,0,8.6,3,4,0
0.396,0.125,1,1,5.1,2,3,1
0.965,0.248,0,0,9.1,5,5,0
0.612,0.177,0,0,4.7,6,2,0
